# Single SKU Max Power Table (unit is 1 dBm)                                                   
# 2.4G Channel                                                   
Band: 2.4G MaxPower_4T MaxPower_3T MaxPower_2T                                                
Ch1 6 30 30                                                
Ch2 6 30 30                                                
Ch3 6 30 30                                                
Ch4 6 30 30                                                
Ch5 6 30 30                                                
Ch6 6 30 30                                                
Ch7 6 30 30                                                
Ch8 6 30 30                                                
Ch9 6 30 30                                                
Ch10 6 30 30                                                
Ch11 6 30 30                                                
Ch12 6 30 30                                                
Ch13 6 30 30                                                
Ch14 6 30 30                                                
                                                   
# 5G Channel                                                   
Band: 5G MaxPower_4T MaxPower_3T MaxPower_2T                                                
Ch184 8 30 30                                                
Ch188 8 30 30                                                
Ch192 8 30 30                                                
Ch196 8 30 30                                                
Ch8 8 30 30                                                
Ch12 8 30 30                                                
Ch16 7 30 30                                                
Ch36 8 30 30                                                
Ch40 8 30 30                                                
Ch44 8 30 30                                                
Ch48 8 30 30                                                
Ch52 8 30 30                                                
Ch56 8 30 30                                                
Ch60 8 30 30                                                
Ch64 8 30 30                                                
Ch68 8 30 30                                                
Ch72 8 30 30                                                
Ch76 8 30 30                                                
Ch80 8 30 30                                                
Ch84 8 30 30                                                
Ch88 8 30 30                                                
Ch92 8 30 30                                                
Ch96 8 30 30                                                
Ch100 15 30 30                                                
Ch104 15 30 30                                                
Ch108 15 30 30                                                
Ch112 15 30 30                                                
Ch116 15 30 30                                                
Ch120 15 30 30                                                
Ch124 15 30 30                                                
Ch128 15 30 30                                                
Ch132 15 30 30                                                
Ch136 15 30 30                                                
Ch140 15 30 30                                                
Ch144 8 30 30                                                
Ch149 8 30 30                                                
Ch153 8 30 30                                                
Ch157 8 30 30                                                
Ch161 8 30 30                                                
Ch165 8 30 30                                                
Ch169 8 30 30                                                
Ch173 8 30 30                                                
Ch177 8 30 30                                                
Ch181 8 30 30                                                
                                                   
                                                   
                                                   
                                                   
                                                   
                                                   
                                                   
